"250180460","ADAMOWICE","95414", 50.129766, 18.332417
"254230010","ALEKSANDRÓWKA","91908", 50.870737, 22.443064
"250190430","ALWERNIA","95506", 50.055061, 19.539949
"250210030","ANNOPOL","95751", 50.892326, 21.855509
"249199978","ANTAŁÓWKA"," 6522", 49.296291, 19.970142
"253229988","AUGUSTÓW","92838", 53.850664, 22.974454
"252189994","BABIAK","93420"
"253210080","BABIĘTA","92730"
"252159995","BABIMOST"," 3150"
"252150270","BABIMOST"," 3152"
"252150270","BABIMOST","93152"
"250170410","BABORÓW","95418"
"252179996","BACHORZEW","93301"
"253220260","BACIUTY","92803"
"253220350","BACZE SUCHE","92854"
"254220080","BAKAŁARZEWO","91804"
"250209983","BALICE","95632"
"249220170","BALIGRÓD-MCHAWA"," 6808"
"253199991","BAŁOSZYCE","92532"
"254220060","BANIE MAZURSKIE","91813"
"249190620","BAŃSKA WYŻNA","96510"
"251189997","BARANÓW","94412"
"250210150","BARANÓW SANDOMIERSKI","95733"
"250210070","BARANÓWEK","95754"
"254210010","BARCIANY","91708"
"252179999","BARCIN","93355"
"250160410","BARDO ŚLĄSKIE","95223"
"253159992","BARLINEK","92101"
"253229994","BARSZCZOWA GÓRA","92843"
"250200010","BARTKÓW","95653"
"249210170","BARTNE","96717"
"251210090","BARTODZIEJE","94723"
"254200040","BARTOSZYCE","91613"
"252190080","BARUCHOWO","93524"
"253160050","BARWICE","92226"
"249210240","BARWINEK"," 6708"
"251210270","BASINÓW","94744"
"250229988","BATORZ","95844"
"253190290","BĄGART","92555"
"254180120","BĄKOWO","91419"
"250180010","BĄKÓW","95484"
"250209976","BELINA","95654"
"251190110","BEŁCHATÓW","94555"
"251199995","BEŁCHATÓW"," 4505"
"250239995","BEŁŻEC","95908"
"249209976","BEREST","96619"
"249219988","BESKO","96720"
"251230120","BEZEK"," 4902"
"254219997","BEZŁAWKI-WILKOWO","91702"
"253219994","BĘSIA"," 2751"
"252169989","BIAŁA NAD NOTECIĄ","93250"
"251189992","BIAŁA NAD WARTĄ","94413"
"253229990","BIAŁA PISKA","92825"
"252239995","BIAŁA PODLASKA"," 3903"
"251209995","BIAŁA RAWSKA","94636"
"252140180","BIAŁCZYK","93053"
"249200450","BIAŁKA TATRZAŃSKA","96610"
"251200080","BIAŁOBRZEGI","94630"
"253220040","BIAŁOBRZEGI","92832"
"254159998","BIAŁOGARD"," 1101"
"253179993","BIAŁOŚLIWIE","92304"
"252230120","BIAŁOWIEŻA"," 3902"
"353230295","BIAŁYSTOK","  295"
"253220070","BIEBRZA-PIEŃCZYKÓWEK"," 2802"
"249210070","BIECZ-GRUDNA"," 6702"
"250170350","BIELICE","95309"
"252149998","BIELINEK","93024"
"250200060","BIELINY KAPITULNE","95646"
"252239998","BIELSK PODLASKI"," 3901"
"349190600","BIELSKO-BIAŁA","  600"
"249199993","BIEŃKÓWKA","96557"
"251150320","BIERNA","94107"
"250190380","BIERUŃ STARY"," 5508"
"251170270","BIERUTÓW","94306"
"250170020","BIESTRZYKOWICE","95357"
"252199990","BIEŻUŃ","93541"
